,BGGId,Name,Description,NumUserRatings,ImagePath,NumOwned,YearPublished,GameWeight,AvgRating,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,Rank:boardgame
10,13,13,13,13,13,13,13,13.0,13.0,13,13,13,13,13
11,26,Age of Renaissance,game describe semisequel civilizationplayer attempt build culture middle age renaissance period game feature card deck hold event payout card famous leader particular era card turn game timing position play crucial ensure different game timethe main goal citystate gain point form technical advance keep culture misery level low possible payout structure similar civilization advanced civilization resource type yield increasingly high payout time particular payout trigger card play player ingenious smooth working ldquocombatrdquo system implement determine province ndash resource   control,2144,https://cf.geekdo-images.com/hNg-cufowH-csaTfzC_nPw__original/img/FXsJRqYH2tFltJrLqSlWdoZaJs8=/0x0/filters:format(jpeg)/pic5682587.jpg,2869,1996,3.8598,7.09678,3,6,300,12,1356
12,28,Illuminati,classic steve jackson game world domination player secret society attempt spread tendril special interest group world late edition come additional card reworked graphic bring venerable game datereissue     illuminati small plastic box   black white card paper moneyexpansion     illuminati yk     illuminati brainwash rework illuminati expansion set      illuminati bavarian fire drill     illuminati mutual assure distractionspin     illuminati crime lord,4933,https://cf.geekdo-images.com/ea8y04WKGgdQkFy1Pbw9tA__original/img/F_xGJIZyrFTkGwRRhV4wk8uVbh4=/0x0/filters:format(jpeg)/pic1320091.jpg,8754,1987,2.6472,6.4816,2,8,180,12,1919
13,41,Can't Stop,sid sackson classic player press luck dice choose combination tactically close column board column possible total sixside dice number space column vary probable total space column roll take complete turn player roll dice arrange duos            amp        amp         amp   player place advance progress marker open column associate choose total choose roll end turn replace progress marker marker color player advance different column turn advance column player close reach end space roll doesnrsquot result legal play turn end turnrsquos progress losta predecessor   great race exist paperandpencil game,14370,https://cf.geekdo-images.com/JZpo3AnyFH4TqxKWFSFKGQ__original/img/FqTBNKpUalw3f4FEWvFcQ5ydtPg=/0x0/filters:format(jpeg)/pic1046518.jpg,12942,1980,1.1553,6.85195,2,4,30,9,753
14,42,Tigris & Euphrates,regard reiner knizia masterpiece tigris amp euphrates set ancient fertile crescent player build civilization tile placement player give different leader farm trading religion government leader collect victory point category score end game number point weak category encourage player overly specialized conflict arise civilization connect board ie external conflict leader type survive conflict leader replace civilization internal conflictsstarting mayfair edition   tigris amp euphrate include doublesided game board extra component play advanced version game quotziggurat expansionquot initially release separate item germany own base game special monument extend space board monument build player cross civilization token color discard token replace ziggurat marker place ziggurat tower middle tile ziggurat marker destroy rule monument apply ziggurat monument king inside kingdom ziggurat victory point color choice end turnsome version tigris amp euphrate list   player incorrectly state   player tigris amp euphrates call reiner knizia tilelaye trilogy,26068,https://cf.geekdo-images.com/soAzNVWglCdVBacNjoCTJw__original/img/HClVZy9phFP-NPte4UBQpclsaHU=/0x0/filters:format(jpeg)/pic2338267.jpg,29238,1997,3.5064,7.69599,2,4,90,12,96
15,45,Perudo,liars dice aka bluff perudo dudo south american dice game player give dice cup roll hide player successively high declaration result dice remain game eg quotthere sixesquot contest bid happen dice reveal bidder caller lose dice depend correct player dice winneras public domain dice game number variant similar game call liar dice include play poker dice differ market version player declare hand value oppose dice play pokerhand value,13144,https://cf.geekdo-images.com/UCiGSoCqbOsXS8JzZZC_SA__original/img/wjGWTdm1oFcxipprcBZT9_OZYRc=/0x0/filters:format(png)/pic3949242.png,16998,1800,1.2625,6.90371,2,6,30,8,721
16,46,Medici,reiner knizia standby game play vary number people   object accrue point round spend point bid set card   turn current player turn card player bid high bid take card   card denote commodity type quantityvalue   round end player ship commodity card deck exhaust   round point award player have give commodity valuable total quotcargo loadquotpart knizia auction trilogyone knizia florentine auction game relate game       medici vs strozzi twoplayer version      strozzi      mercator include neue spiele m alten rom ancestor medici,7414,https://cf.geekdo-images.com/1njrltRuw3DrS0gNNu02Dg__original/img/DcY7lagZO1XKuTQY5Tfk8Hwm0B8=/0x0/filters:format(jpeg)/pic2672797.jpg,8045,1995,2.2555,7.15626,2,6,60,10,562
17,47,Chinatown,negotiation game true sense word player acquire ownership section city block place tile represent business blocksection   end turn tile ve lay give sort payout complete business form connected tile type pay bit well   resource deal player randomly player trade match business adjacent locationsthis game   alea big box series,9033,https://cf.geekdo-images.com/QnIOe-1wb8_zuxglKjAwOQ__original/img/KVIx8Af2rXVkyaUA8lxjl_H1aWc=/0x0/filters:format(png)/pic2037509.png,11175,1999,2.2685,7.35277,3,5,60,12,375
18,49,Mamma Mia!,designer uwe rosenberg talent dream new inventive card game mamma mia perfect example talent player place pizza ingredient combine pool try time pizza bake order use s available kitcheneach player start game different pizza order fill order card hand player start hand ingredient card show pepperoni mushroom pineapple green pepper olive turn player lay ingredient card single type common stack optionally add pizza order card stack refill hand draw card play share ingredient deck order deckafter draw pile exhaust share pile card flip sort ingredient order come ingredient card available fill order owner score player difference play card hand score order return card order deckonce order score return shuffle ingredient pizza start round play complete round player s fill order win,5800,https://cf.geekdo-images.com/R4sklz_ELBN5nLFTwagvLQ__original/img/7IHqMhY3qCMcpoMT22fNeFnGLLo=/0x0/filters:format(jpeg)/pic2824027.jpg,7804,1998,1.3693,6.47074,2,5,30,10,1635
19,50,Lost Cities,lose city card game kosmos twoplayer series game originally consist single deck card rank ndash different color special quothandshakesquot quothsquot score example suit   game include colored suit sixth color optional gameplay game board include organize discard card help player organize card collectionsthe object game gain point mount profitable archaeological expedition different site represent colored suit card player turn play card expedition discard colorappropriate discard pile draw card deck discard pile card play expedition ascend order need consecutive handshake consider low   represent investment expedition play red   play red card high   future turn long play handshake   game continue fashion player alternate turn final card take deck rest card hand discard player score expedition expedition card play score card play expedition worth rank point handshake count multipli final total handshake double expedition value handshake triple value handshake quadruple expedition start value   play   point card expedition order profit leave negative value handshake multipli apply point bonus award expedition card play complete game lose city last match score match add togetherscore example   expedition   total   expedition worth   total point   plus initial scoring example   expedition   hs   total   expedition worth   total point   point card plus initial   time multiplier plus pt bonus play   cardsscore example   expedition   hs   total   expedition worth   total point   plus initial   time multipli,39233,https://cf.geekdo-images.com/AL5D-dXabY-Lk3PqIFk_0g__original/img/PdGBQ7xc0GA9ndKnnInx_sQwvl4=/0x0/filters:format(jpeg)/pic4597095.jpg,54756,1999,1.4921,7.18784,2,2,30,10,325
20,13,13,13,13,13,13,13,13.0,13.0,13,13,13,13,13
21,54,Tikal,tikal game exploration central american jungle search lose temple treasure player send team explorer jungle expose terrain   way find temple require uncovering treasure   player attempt score point occupy temple hold treasuretikal game mask trilogysequel      tikal ii lose temple,18453,https://cf.geekdo-images.com/ajU3xzGDUKihjNdvjCR1Hw__original/img/6dCgK1EESbk9GNuCiwQ4XiqIW3Y=/0x0/filters:format(jpeg)/pic3328391.jpg,24086,1999,2.7906,7.33204,2,4,90,10,282
22,60,Vinci,line history world avalon hill game co player cycle series european civilization attempt score point civilization special power   game set europe player provide pool wooden token represent civilization   player select combination civilization tile civilization special ability characteristic   player enlarge empire territorial expansion expense player   key game lie choose allow active civilization decline order select new generate point   play continue cycling civilization certain score reach final round play victor determinedreimplemente      small world release march,3965,https://cf.geekdo-images.com/16rNX4_Zj2nUtfKP7d1Wxw__original/img/tMG5f6Jgt1XKTXbHnFWJrWFpzo8=/0x0/filters:format(jpeg)/pic168171.jpg,3762,1999,2.7813,7.07778,3,6,120,14,910
23,66,Löwenherz,king lie near death prince compete dominate kingdom secure throne grab land possiblethis ideal   player game turn card reveal display   action player choose player turn choose action play      card identify second action reveal card beauty mechanism lie distribution   action   player miss outif player choose action decide player         choose action     player choose negotiate solution come agreement duelthis define element game time negotiation drop reimplementation domainethe game board build   tile randomly place frame produce slightly different game time see teuber thematic trilogy define entdecker catan lwenherzthe board conflict manner idea capture territory possible   player start castle   player crowded board build wall create kingdom train knight defend key action action card bid turnconsequently high conflict area grab game heavy element negotiation,2459,https://cf.geekdo-images.com/qsiGPdi9ktEKj3rU8HcAog__original/img/LoxqSRScweTL2i0niuaNolPn8hI=/0x0/filters:format(jpeg)/pic582814.jpg,3542,1997,2.9286,7.02767,2,4,90,12,1244
24,70,Big City,game wonderful plastic bit build city   player acquire card different neighborhood use lay building space large   point receive give building base score plus bonus building surround   make game unique city hall   player play score point order start place structure simple residence business,2376,https://cf.geekdo-images.com/LkPdT03ObmWklCB8S3DZfw__original/img/tOLxwWWirwmmZ5fYgh2wJ7c6MqA=/0x0/filters:format(jpeg)/pic1043072.jpg,2558,1999,2.2171,6.8628,2,5,60,10,1486
25,71,Civilization,civilization game skill     player cover development ancient civilization invention agriculture c   bc emergence rome middle century bc player lead nation people map board eastern mediterranean near east attempt carve niche culturealthough battle territorial strategy important war game win battle conquest instead object play gain level overall advancement involve cultural economic political factor conflict arise result rivalry land shortage desire eliminate player nomad farmer warrior merchant artisan citizen essential play development civilization player effectively change emphasis outlook achieve good balance winfrom introduction avalon hill edition rulebookthis game huge following widely regard good game ancient civilization player take role leader ancient civilization illyrian babylonians task guide people age expand empire proceed finance new technological advance literacy metalworking law advancement help civilization well cope problem help bring new advancementscivilization widely think game incorporate quottechnology treequot allow player gain certain item ability particular item obtain influential mechanism adopt countless board games card game computer game,7197,https://cf.geekdo-images.com/YnRVKSq3NrLKVGPNzcYvqg__original/img/DVfIjAcXRotFftj6yPOc7KKYXNA=/0x0/filters:format(jpeg)/pic374847.jpg,10319,1980,3.6564,7.49788,2,7,360,12,347
26,74,Apples to Apples,party game apple apple consist deck card thing description round active player draw description card feature adjective like quothairyquot quotsmarmyquot deck player secretly choose thing card hand good match description play facedown table active player reveal card choose thing card opinion good match description card award play thing card player new active player roundonce player win predetermine number description card player winsnote quotparty boxquot edition include card apple apple expansion set   apple apple expansion set,17992,https://cf.geekdo-images.com/S5GzB_f2Re3kEDoSxqG5Ew__original/img/K49MN0Ij_tZOgDK4znCUJGu6aU4=/0x0/filters:format(jpeg)/pic213515.jpg,26507,1999,1.1588,5.79633,4,10,30,12,5238
27,88,Torres,torre abstract game resource management tactical pawn movement   player attempt build castle position knight score point turn   player limited supply knight action card allow special action take   efficient use piece card thoughtful awareness future possibility heart gametorre consider informal member refer mask trilogy,8988,https://cf.geekdo-images.com/3pL0cEnaGn7Qwn6F2zvgcQ__original/img/rDW9TnDvR8kA5pSmSrs7fvc3PZ8=/0x0/filters:format(jpeg)/pic3371593.jpg,12620,1999,2.8656,7.10972,2,4,60,12,579
28,91,Paths of Glory,gmt game websitethey call great war year titanic struggle ancient europe king emperor tear piece give birth violent modern age bloody battle fight trench western icy plain poland mountain balkan desert arabia shape world know today orphan great warpath glory world war design sixtime charles s roberts awards winner ted raicer allow player step shoe monarchs marshal triumph bungle     central power use advantage interior line fighting skill imperial german army win rightful place sun entente power ally bring great number bear end german militarism ensure war end war player find generalship strategic ability test path glorys innovative game system let recreate dramatic event world war icomponent       fullcolor diecut counter           rdquo die cut counter           rdquo die cut counter          xquot fullcolor mapsheet show europe near east       strategy card      page rule book include sample game replay   page actual rule      player reference card designer ted raicerdeveloper andy lewisart director rodger b macgowanmap art mark simonitchcard amp counter art mark simonitchbgg descriptionfollowe footstep people hannibal rome vs carthage successor firstsecond edition people path glory utilize similar carddriven system   game cover wwi outbreak american intervention span europe middle east   game innovative play fast usually eveningwhile game normal expectation wargame unit crt chart period chrome heart game rest card play   player give hand card play subphase turn   subphase allow use card pass minimal movement unit   card possible use operational movement strategic movement special event replacement point   cardplay force player constantly tough decsion feel need little bit thing time   play card decide large degree outcome war,4672,https://cf.geekdo-images.com/Ip4TygnwFxuR57Vky9ZeZA__original/img/MP1e5GdDAT-4QO734-n8_rUkMv8=/0x0/filters:format(jpeg)/pic4490515.jpg,8891,1999,3.8421,8.05888,2,2,480,14,173
29,93,El Grande,awardwinning game player role grande medieval spain   king power flag powerful lord vie control region   end draft caballero knights form colored cube court subsequently board help seize control region   round region score ninth round player point winnerin round select   power card determine turn order number caballero province general supply court personal supplya turn consist select action card allow variation rule additional scoring opportunity addition determine caballero court region board castillo   secretive tower normally place caballero region adjacent contain king pawn hard fast rule el grande king region action card available round allow king new region action card vary round roundthe goal caballero majority region castillo possible scoring round follow scoring castillo place cube stash region secretly indicate region dial region score individually accord table print region twopoint bonus award have sole majority region contain grande large cube region contain king,24369,https://cf.geekdo-images.com/GO282hlXR3RiknU5W4GZjg__original/img/TCTXvYRQGWMAngXuHZcIXRknfpc=/0x0/filters:format(png)/pic5373572.png,23410,1995,3.0515,7.74966,2,5,120,12,82
30,94,Union Pacific,union pacific traintheme stock market game   turn player choose expand company increase value add share stock hand play stock table hand increase ownership company   semirandom scoring event second place share holder company pay dividend   stock previously play table consider scoring round    union pacific special company share claim accord special rule   union pacific represent board instead pay dividend share holder accord fix progression chart   money track victory condition spend game   winner player money end gamereimplement      airlinesreimplemente      airline europe,4205,https://cf.geekdo-images.com/69chi17STdg_NfBrM7UpHA__original/img/1iBmXk3GbNmPiTKI_sdv0rakqaI=/0x0/filters:format(jpeg)/pic226392.jpg,4386,1999,2.5508,7.20662,2,6,90,12,730
31,98,Axis & Allies,axis ally successful milton bradleys gamemaster seriesit depict wwii grand scale global level player play different team axis germany japan ally usa united kingdom ussr map world provide break chunk similar risk game come gob plastic miniature represent military unit wwii   player disposal infantry armor fighter bomber battleship aircraft carrier submarine troop transport antiair gun factory unit perform differently special function player work teammate order coordinate offense decide good utilize production point player option risk production resource possibility develop super technology turn tide waraxis ally originally publish nova games reimplemente     axis   ally anniversary edition      axis amp ally global   axis   ally pacific   combine axis   ally europe expand     totally untested volume   maxs advanced rule axis   ally unofficial expansion     conquest pacific unofficial expansion     midway unofficial expansion,10465,https://cf.geekdo-images.com/pWUe-w4DpXdcmH6GqbZqCw__original/img/-mqPeX0oe4pkmLxBNyRt3uGyyf0=/0x0/filters:format(jpeg)/pic24006.jpg,14855,1981,3.0394,6.56572,2,5,180,12,1494
32,99,Fortress America,fortress america originally milton bradleys gamemaster series depict alternate nearfuture world attack invade continental united states west arrive horde asian foe south arrive union south american country mexico east land come legion soviet take europe america besiege rely remain ground air force leave country partisan uprising defend mom apple pieup player play fortress america player control invade unit particular direction near future scenario unit game include conventional infantry apcs hovertank helicopter bomber partisan unit special quotstar warsquot laser relay system fire spacethe game emphasize combine arm player receive bonus infantry mechanized air power conflict invading country unit receive game give start manage wisely start skeleton defense build game random deck card slowly build star war system long invader delay powerful conventionally defense systemreimplemente     fortress america,2419,https://cf.geekdo-images.com/a6SXt0FvxYqo1wbjyMrc-A__original/img/1bcMiQoTifkLEDP4-jNHnvPmL-Q=/0x0/filters:format(jpeg)/pic3884550.jpg,3882,1986,2.6434,6.69498,2,4,180,12,1905
33,103,Titan,classic game fantasy monster slugathon standby avalon hill game co yore   game devoted follow tribute depth strategy approach   game divide realm masterboard battleboard   masterboard legion mythical creature roam try recruit big badder monster kill oppose legion process   combat occur action move corresponding battleboard type correspond area fight take place   lot dice toss army remain stand return masterboard spoil war pointsthe point recruit angel archangel augment leader character player army titan   point increase titan powerful game end titan able kill character single blow careful titan die player gamethe titan standing ruler winner game,3900,https://cf.geekdo-images.com/MxQroqFDoQAV4s2oyYnyWQ__original/img/prIQozvI371DWiib_dN9WWqLcCk=/0x0/filters:format(jpeg)/pic1083237.jpg,5602,1980,3.4573,6.96826,2,6,240,12,1147
34,105,Colossal Arena,colossal arenatitanthe arena strategic card game     player play combatant spectator cheer bet melee ongoing fantasy arenacolosseum fantasy creature pit battleeach round creature die decide unlucky soul victim player number power card creature low go graveyard   jockeying position strategic diplomacy play numbered power card intense   make game interesting player place bet game allow use creature special power battlethe winner end game bettor s rake winning   day life fantasy monster gamblertitan arena actually reworking reiner knizia game call grand national derby avalon hill game cos remake significant gameplay standpointthe titan arena printing confused namesake titan   fact use fantasy creature general theme little similar tworeimplemente galaxy dark age,7041,https://cf.geekdo-images.com/SsmaQGmmqdcBmyJDd041YQ__original/img/-qRLT0PI62LJweiUG_xzF8h3F_g=/0x0/filters:format(jpeg)/pic1680709.jpg,8598,1997,2.0204,6.7712,2,5,60,8,1051
35,106,Mystery Rummy: Jack the Ripper,game attach interesting theme fairly standard rummy framework   play victim suspect scene evidencemeld player try build case suspect famous jack ripp serial murder   whichever suit card play player go guilty party victim card come end game ripper escape give player produce card significant point allowancethis   mystery rummy series,3369,https://cf.geekdo-images.com/lVc5ebKuO3kLu6a0m-cZuA__original/img/jwBmQ9Fc_tCeDCu9JG1tnwok-DI=/0x0/filters:format(jpeg)/pic592086.jpg,5789,1998,1.7483,6.94255,2,4,45,10,1173
36,112,Condottiere,th century italy trade flourish citystate levant venice florence genoa burst wealth citystate plague weak national army leave defenseless invasion envious neighbor enter condottiere   veteran english soldier return crusade italy find influx desperate capable man hire sword contract fight individual citystate agreement know condotta elite man mercenary leader know condottierethe object condottiere acquire connected province renaissance italy player auction different province board bid province hand card represent mercenary season scarecrow political figure unlike standard auction high bidder lose bid condottiere player lose bid   player effect bid number troop willing lose order win province special effect card shake contest player guess,9007,https://cf.geekdo-images.com/ez1nMA4g7Mx3BVBqZT9D2w__original/img/rBaGeeM-KPjZQXmTQ6roO7QTdWI=/0x0/filters:format(jpeg)/pic4211268.jpg,11581,1995,1.9587,6.84772,2,6,45,14,884
